id,age_cat,c_charge_degree,race,sex,priors_count,two_year_recid
2567,25 - 45,F,African-American,Male,4,0
2568,25 - 45,M,Hispanic,Male,0,0
2569,25 - 45,M,African-American,Male,1,1
2570,Greater than 45,F,Hispanic,Male,5,1
2571,Greater than 45,F,Caucasian,Male,0,0
2572,Greater than 45,F,Caucasian,Male,1,1
2573,25 - 45,M,Caucasian,Male,3,1
2574,25 - 45,F,Caucasian,Male,1,1
2575,25 - 45,M,African-American,Male,0,1
2576,25 - 45,M,African-American,Male,0,0
2577,25 - 45,F,Caucasian,Male,5,0
2578,Less than 25,F,African-American,Male,0,0
2579,25 - 45,M,African-American,Male,8,0
2580,Greater than 45,F,Caucasian,Male,7,0
2581,Greater than 45,M,African-American,Male,3,1
2582,Greater than 45,F,Caucasian,Male,7,1
2583,25 - 45,F,Caucasian,Male,5,1
2584,Greater than 45,M,Caucasian,Male,3,0
2585,25 - 45,F,Caucasian,Male,0,0
2586,25 - 45,M,African-American,Male,27,0
2587,25 - 45,F,African-American,Male,5,0
2588,Less than 25,F,Caucasian,Male,0,1
2589,Less than 25,M,Caucasian,Male,0,0
2590,Less than 25,M,African-American,Male,1,1
2591,25 - 45,M,African-American,Male,0,1
2592,Greater than 45,F,Caucasian,Male,8,0
2593,25 - 45,M,African-American,Male,1,0
2594,25 - 45,M,Caucasian,Female,0,0
2595,Greater than 45,F,Caucasian,Male,0,0
2596,25 - 45,F,African-American,Male,3,1
2597,Greater than 45,M,African-American,Male,0,0
2598,25 - 45,F,Caucasian,Female,3,1
2599,25 - 45,F,African-American,Female,0,0
2600,Less than 25,F,Hispanic,Male,0,0
2601,Less than 25,M,Other,Male,3,1
2602,25 - 45,F,African-American,Male,11,0
2603,25 - 45,F,African-American,Male,11,1
2604,25 - 45,M,African-American,Male,4,0
2605,25 - 45,F,Other,Male,0,0
2606,25 - 45,F,Caucasian,Female,1,0
2607,25 - 45,M,African-American,Male,0,1
2608,Less than 25,F,African-American,Male,1,0
2609,Less than 25,F,African-American,Male,0,1
2610,25 - 45,F,Caucasian,Female,3,0
2611,Greater than 45,M,African-American,Male,1,0
2612,Greater than 45,F,Caucasian,Male,3,0
2613,25 - 45,F,African-American,Male,2,1
2614,Less than 25,M,African-American,Male,0,0
2615,Greater than 45,F,Caucasian,Male,0,0
2616,25 - 45,F,African-American,Male,9,0
2617,Less than 25,F,African-American,Female,2,1
2618,25 - 45,M,African-American,Female,2,0
2619,25 - 45,M,African-American,Male,5,0
2620,25 - 45,F,Other,Female,0,0
2621,Less than 25,F,African-American,Male,1,1
2622,25 - 45,M,African-American,Male,2,0
2623,25 - 45,M,Caucasian,Male,0,0
2624,25 - 45,F,African-American,Male,0,0
2625,Greater than 45,F,Caucasian,Male,2,0
2626,25 - 45,F,African-American,Female,2,0
2627,25 - 45,F,Caucasian,Male,5,1
2628,Less than 25,F,African-American,Male,3,1
2629,25 - 45,M,Caucasian,Female,3,1
2630,Greater than 45,M,African-American,Male,2,1
2631,Greater than 45,M,Caucasian,Female,1,0
2632,25 - 45,M,Other,Male,3,1
2633,Greater than 45,M,African-American,Male,0,0
2634,25 - 45,F,African-American,Male,2,0
2635,25 - 45,F,Caucasian,Female,1,1
2636,Greater than 45,F,African-American,Male,4,0
2637,25 - 45,M,African-American,Male,21,1
2638,25 - 45,F,Caucasian,Male,0,0
2639,25 - 45,F,Caucasian,Male,1,0
2640,25 - 45,F,Caucasian,Female,2,0
2641,25 - 45,F,Caucasian,Female,0,1
2642,25 - 45,F,Caucasian,Female,4,0
2643,25 - 45,F,African-American,Male,20,1
2644,Less than 25,F,African-American,Male,1,1
2645,Greater than 45,M,African-American,Male,0,0
2646,25 - 45,F,African-American,Male,1,0
2647,Less than 25,F,African-American,Male,1,1
2648,Less than 25,F,African-American,Female,0,1
2649,Less than 25,F,African-American,Male,0,0
2650,25 - 45,F,African-American,Male,4,0
2651,25 - 45,M,African-American,Male,0,0
2652,25 - 45,F,Caucasian,Male,0,0
2653,Less than 25,F,African-American,Male,3,0
2654,25 - 45,F,Other,Male,5,1
2655,25 - 45,F,Caucasian,Male,5,0
2656,Greater than 45,F,Caucasian,Male,1,0
2657,Less than 25,F,African-American,Male,0,1
2658,Less than 25,F,Caucasian,Male,0,0
2659,Greater than 45,M,Hispanic,Male,1,1
2660,Greater than 45,F,African-American,Male,13,0
2661,Less than 25,F,African-American,Female,2,0
2662,25 - 45,M,Hispanic,Male,0,0
2663,Greater than 45,F,Caucasian,Male,7,0
2664,Less than 25,F,African-American,Male,1,1
2665,Greater than 45,F,African-American,Male,0,0
2666,Less than 25,F,Caucasian,Male,3,1
2667,25 - 45,M,African-American,Male,1,0
2668,25 - 45,M,Caucasian,Female,0,0
2669,Greater than 45,M,Hispanic,Male,1,0
2670,Greater than 45,M,Other,Male,0,0
2671,Greater than 45,M,African-American,Male,1,0
2672,25 - 45,F,Other,Male,0,0
2673,25 - 45,M,Caucasian,Male,1,0
2674,25 - 45,M,African-American,Male,0,0
2675,Greater than 45,F,Caucasian,Male,1,0
2676,25 - 45,M,Other,Female,1,0
2677,25 - 45,F,African-American,Male,7,0
2678,25 - 45,F,Caucasian,Male,5,1
2679,25 - 45,F,Caucasian,Female,0,0
2680,Less than 25,F,Caucasian,Male,2,1
2681,25 - 45,M,Hispanic,Female,0,1
2682,25 - 45,M,Hispanic,Male,5,0
2683,Less than 25,F,Caucasian,Male,1,1
2684,Less than 25,M,African-American,Female,2,1
2685,25 - 45,F,African-American,Male,6,1
2686,25 - 45,M,African-American,Female,0,0
2687,Greater than 45,M,Caucasian,Male,3,1
2688,Less than 25,F,African-American,Female,2,0
2689,25 - 45,F,Caucasian,Male,4,1
2690,Greater than 45,M,Caucasian,Male,0,0
2691,Less than 25,F,African-American,Male,14,1
2692,25 - 45,F,African-American,Male,11,0
2693,Greater than 45,F,African-American,Male,22,1
2694,Less than 25,F,Caucasian,Male,0,0
2695,25 - 45,M,African-American,Male,5,0
2696,Greater than 45,F,African-American,Male,19,1
2697,Greater than 45,M,African-American,Male,0,1
2698,25 - 45,M,Caucasian,Male,1,0
2699,Greater than 45,F,Hispanic,Male,1,0
2700,25 - 45,F,African-American,Male,0,0
2701,25 - 45,F,Caucasian,Male,0,1
2702,25 - 45,F,African-American,Male,5,1
2703,25 - 45,F,African-American,Female,0,0
2704,Greater than 45,M,Other,Male,1,0
2705,25 - 45,F,Caucasian,Female,1,0
2706,25 - 45,F,African-American,Male,2,1
2707,25 - 45,F,African-American,Female,9,1
2708,Less than 25,F,African-American,Male,3,1
2709,25 - 45,F,African-American,Male,5,0
2710,Greater than 45,F,African-American,Male,13,0
2711,25 - 45,F,African-American,Male,4,1
2712,25 - 45,M,Caucasian,Female,1,0
2713,25 - 45,F,African-American,Male,6,1
2714,25 - 45,F,Caucasian,Male,9,1
2715,25 - 45,M,Caucasian,Male,4,1
2716,Less than 25,M,Caucasian,Male,3,1
2717,25 - 45,F,Caucasian,Male,0,0
2718,25 - 45,F,Hispanic,Male,1,0
2719,25 - 45,M,Caucasian,Female,0,0
2720,25 - 45,M,African-American,Male,0,1
2721,Greater than 45,F,Caucasian,Male,1,0
2722,25 - 45,F,African-American,Male,8,0
2723,25 - 45,F,African-American,Male,0,0
2724,25 - 45,F,Caucasian,Male,2,0
2725,Greater than 45,F,African-American,Male,22,1
2726,25 - 45,M,Other,Male,4,1
2727,Greater than 45,M,Caucasian,Male,1,0
2728,Greater than 45,F,Caucasian,Male,2,0
2729,25 - 45,F,Caucasian,Male,1,0
2730,25 - 45,M,Hispanic,Male,1,0
2731,25 - 45,M,Caucasian,Female,5,1
2732,25 - 45,M,African-American,Male,0,0
2733,25 - 45,F,Caucasian,Male,0,0
2734,Greater than 45,M,Caucasian,Female,3,0
2735,Greater than 45,M,Other,Male,1,0
2736,25 - 45,M,Hispanic,Male,2,0
2737,25 - 45,F,Caucasian,Male,4,1
2738,Less than 25,F,African-American,Male,6,1
2739,25 - 45,F,African-American,Male,5,0
2740,25 - 45,F,Caucasian,Male,12,0
2741,25 - 45,F,African-American,Female,2,1
2742,25 - 45,F,African-American,Male,0,0
2743,25 - 45,M,Caucasian,Female,0,0
2744,25 - 45,F,African-American,Male,7,1
2745,Less than 25,F,African-American,Male,0,1
2746,25 - 45,M,Caucasian,Female,1,0
2747,25 - 45,F,Caucasian,Male,0,0
2748,25 - 45,F,African-American,Female,2,0
2749,Greater than 45,F,Caucasian,Female,4,0
2750,25 - 45,F,Caucasian,Male,3,0
2751,25 - 45,M,Hispanic,Male,5,1
2752,25 - 45,F,African-American,Male,3,0
2753,25 - 45,F,Caucasian,Male,3,1
2754,25 - 45,M,Other,Male,0,0
2755,Greater than 45,M,Caucasian,Male,5,1
2756,Less than 25,M,Caucasian,Female,0,0
2757,Greater than 45,F,Caucasian,Male,10,1
2758,25 - 45,F,African-American,Male,16,1
2759,25 - 45,M,African-American,Male,6,1
2760,25 - 45,F,African-American,Male,4,1
2761,Less than 25,F,African-American,Male,0,0
2762,25 - 45,M,Hispanic,Male,1,0
2763,Greater than 45,M,Caucasian,Female,0,0
2764,Less than 25,F,Caucasian,Male,1,0
2765,25 - 45,M,Caucasian,Male,0,1
2766,25 - 45,F,African-American,Male,14,1
2767,Greater than 45,M,Caucasian,Female,0,0
2768,Less than 25,M,African-American,Female,0,0
2769,25 - 45,M,Hispanic,Male,0,0
2770,25 - 45,F,Hispanic,Female,0,0
2771,25 - 45,F,Caucasian,Female,4,1
2772,Less than 25,M,Hispanic,Male,0,1
2773,Greater than 45,F,Hispanic,Male,0,0
2774,Greater than 45,F,Caucasian,Male,2,1
2775,25 - 45,M,Other,Male,2,1
2776,25 - 45,F,African-American,Male,5,0
2777,25 - 45,M,African-American,Male,1,1
2778,Less than 25,F,African-American,Male,1,0
2779,Greater than 45,F,African-American,Male,9,0
2780,Greater than 45,M,Caucasian,Male,1,0
2781,Less than 25,F,African-American,Male,2,1
2782,25 - 45,F,African-American,Male,21,0
2783,25 - 45,F,African-American,Female,1,0
2784,Less than 25,M,Caucasian,Male,4,1
2785,25 - 45,F,African-American,Female,22,1
2786,25 - 45,M,Caucasian,Female,0,1
2787,Less than 25,F,African-American,Male,0,0
2788,25 - 45,F,African-American,Male,0,1
2789,Greater than 45,M,Caucasian,Female,0,0
2790,Greater than 45,F,African-American,Male,3,0
2791,25 - 45,M,African-American,Male,9,1
2792,25 - 45,M,Caucasian,Male,0,0
2793,25 - 45,F,African-American,Male,1,0
2794,Greater than 45,M,Caucasian,Male,0,0
2795,25 - 45,F,African-American,Male,2,0
2796,Less than 25,F,African-American,Male,2,1
2797,25 - 45,M,Asian,Male,6,0
2798,25 - 45,M,Caucasian,Male,0,0
2799,25 - 45,F,African-American,Male,4,0
2800,25 - 45,M,African-American,Male,1,0
2801,25 - 45,F,African-American,Male,1,0
2802,25 - 45,M,Caucasian,Male,0,0
2803,25 - 45,F,Caucasian,Male,0,0
2804,25 - 45,M,Caucasian,Female,0,1
2805,25 - 45,F,Hispanic,Male,0,0
2806,Greater than 45,F,African-American,Male,19,0
2807,Greater than 45,M,African-American,Male,7,0
2808,25 - 45,M,African-American,Female,1,0
2809,25 - 45,F,Caucasian,Male,5,1
2810,25 - 45,F,African-American,Male,1,0
2811,Greater than 45,F,Caucasian,Male,1,0
2812,25 - 45,F,Caucasian,Male,1,0
2813,25 - 45,F,Hispanic,Female,2,1
2814,25 - 45,F,African-American,Male,0,0
2815,Greater than 45,M,Caucasian,Male,0,0
2816,Greater than 45,M,Hispanic,Female,0,0
2817,25 - 45,M,Caucasian,Female,0,0
2818,Greater than 45,F,Hispanic,Male,10,0
2819,25 - 45,F,African-American,Male,8,1
2820,Greater than 45,M,African-American,Male,20,0
2821,Greater than 45,F,African-American,Male,4,0
2822,25 - 45,F,African-American,Male,2,1
2823,25 - 45,M,Caucasian,Male,0,1
2824,Less than 25,F,African-American,Male,0,0
2825,25 - 45,M,Caucasian,Male,3,0
2826,25 - 45,M,African-American,Female,0,0
2827,Less than 25,F,African-American,Male,11,1
2828,Greater than 45,F,Caucasian,Male,0,0
2829,25 - 45,F,African-American,Male,7,1
2830,Less than 25,F,African-American,Male,1,0
2831,Greater than 45,F,Caucasian,Male,1,0
2832,Greater than 45,F,Caucasian,Male,3,0
2833,Less than 25,M,African-American,Male,1,1
2834,25 - 45,M,Caucasian,Female,0,0
2835,25 - 45,M,Caucasian,Male,0,1
2836,25 - 45,F,African-American,Male,16,1
2837,25 - 45,M,Hispanic,Male,3,0
2838,25 - 45,M,African-American,Male,0,0
2839,25 - 45,F,Caucasian,Male,16,1
2840,Greater than 45,F,African-American,Female,1,0
2841,25 - 45,F,African-American,Male,0,1
2842,25 - 45,M,African-American,Male,0,0
2843,25 - 45,F,African-American,Male,19,1
2844,Less than 25,F,African-American,Male,1,0
2845,25 - 45,M,Caucasian,Male,0,0
2846,Greater than 45,F,African-American,Male,13,1
2847,25 - 45,M,Other,Male,0,0
2848,25 - 45,F,Caucasian,Male,2,0
2849,Greater than 45,F,Caucasian,Male,2,0
2850,25 - 45,F,African-American,Male,14,1
2851,25 - 45,F,African-American,Male,8,0
2852,25 - 45,F,Other,Female,4,1
2853,25 - 45,F,African-American,Male,0,0
2854,25 - 45,F,African-American,Male,0,0
2855,25 - 45,F,Caucasian,Female,2,1
2856,Greater than 45,F,Caucasian,Male,2,1
2857,Greater than 45,M,Caucasian,Male,0,0
2858,Less than 25,F,African-American,Male,2,1
2859,Greater than 45,F,African-American,Female,2,1
2860,25 - 45,F,Caucasian,Male,0,0
2861,Less than 25,F,African-American,Female,0,1
2862,Less than 25,F,Caucasian,Male,1,0
2863,Less than 25,M,Caucasian,Male,0,0
2864,25 - 45,F,African-American,Male,0,0
2865,Less than 25,F,African-American,Male,5,1
2866,Greater than 45,F,Caucasian,Male,9,1
2867,25 - 45,M,African-American,Female,3,0
2868,25 - 45,F,African-American,Male,13,0
2869,25 - 45,F,African-American,Male,2,0
2870,Less than 25,F,Caucasian,Male,0,1
2871,25 - 45,M,African-American,Male,1,1
2872,Greater than 45,M,Caucasian,Male,4,1
2873,25 - 45,F,Caucasian,Male,2,0
2874,Greater than 45,M,African-American,Male,0,0
2875,Greater than 45,F,Caucasian,Male,0,0
2876,25 - 45,F,Caucasian,Male,2,1
2877,25 - 45,F,Caucasian,Female,1,0
2878,25 - 45,F,African-American,Male,0,1
2879,Less than 25,F,African-American,Male,3,1
2880,Greater than 45,F,Caucasian,Male,2,0
2881,25 - 45,F,Caucasian,Male,1,1
2882,25 - 45,F,Other,Male,2,0
2883,Less than 25,M,Hispanic,Male,0,0
2884,25 - 45,M,Caucasian,Male,2,0
2885,25 - 45,F,Hispanic,Female,0,0
2886,Greater than 45,F,Hispanic,Male,18,0
2887,Greater than 45,M,Hispanic,Male,0,0
2888,25 - 45,F,Other,Male,6,1
2889,Greater than 45,M,Caucasian,Male,0,0
2890,Less than 25,F,Caucasian,Male,1,1
2891,Less than 25,F,African-American,Female,1,0
2892,Greater than 45,F,Caucasian,Male,9,1
2893,25 - 45,M,Caucasian,Male,0,1
2894,25 - 45,F,Caucasian,Male,2,0
2895,Greater than 45,F,Caucasian,Male,3,0
2896,Greater than 45,M,Caucasian,Male,6,1
2897,Less than 25,F,African-American,Male,1,0
2898,Greater than 45,F,Caucasian,Male,2,0
2899,25 - 45,F,Caucasian,Male,1,1
2900,25 - 45,F,African-American,Male,5,0
2901,25 - 45,F,African-American,Male,0,1
2902,25 - 45,M,African-American,Male,4,0
2903,Greater than 45,M,Caucasian,Male,0,0
2904,25 - 45,F,Caucasian,Male,5,1
2905,Less than 25,M,Caucasian,Female,0,0
2906,25 - 45,M,Caucasian,Female,0,0
2907,Less than 25,M,African-American,Male,1,0
2908,Greater than 45,M,Caucasian,Male,1,0
2909,Less than 25,F,African-American,Female,0,1
2910,25 - 45,F,Caucasian,Male,6,0
2911,Less than 25,F,Caucasian,Male,1,0
2912,Less than 25,F,African-American,Female,0,1
2913,25 - 45,M,African-American,Female,0,0
2914,25 - 45,F,Other,Male,0,0
2915,25 - 45,F,African-American,Female,4,0
2916,Greater than 45,M,Caucasian,Male,0,0
2917,Less than 25,F,Caucasian,Male,1,0
2918,25 - 45,F,Caucasian,Male,2,0
2919,25 - 45,F,Caucasian,Male,6,1
2920,25 - 45,M,Caucasian,Male,3,1
2921,Greater than 45,F,Caucasian,Male,5,1
2922,Greater than 45,F,Other,Male,0,0
2923,25 - 45,F,African-American,Male,2,1
2924,Greater than 45,F,African-American,Male,10,0
2925,Less than 25,M,African-American,Male,0,0
2926,Less than 25,F,Caucasian,Male,2,1
2927,Greater than 45,M,Asian,Male,1,0
2928,Less than 25,F,Other,Male,0,0
2929,Greater than 45,F,Caucasian,Male,2,0
2930,25 - 45,M,Caucasian,Male,4,1
2931,Greater than 45,F,Caucasian,Male,3,0
2932,Greater than 45,F,African-American,Male,13,0
2933,Greater than 45,F,Caucasian,Male,2,0
2934,25 - 45,F,African-American,Male,6,0
2935,Less than 25,M,African-American,Male,1,0
2936,25 - 45,F,Other,Male,0,1
2937,Greater than 45,F,Caucasian,Male,6,0
2938,25 - 45,M,Caucasian,Female,0,0
2939,Greater than 45,F,African-American,Male,19,0
2940,Greater than 45,M,Caucasian,Male,12,0
2941,25 - 45,M,African-American,Male,0,1
2942,Greater than 45,F,African-American,Male,11,0
2943,25 - 45,F,Caucasian,Male,0,0
2944,Greater than 45,F,Other,Male,7,0
2945,25 - 45,F,African-American,Male,12,1
2946,25 - 45,F,Caucasian,Female,0,0
2947,25 - 45,M,African-American,Male,1,1
2948,25 - 45,M,Caucasian,Female,3,0
2949,25 - 45,F,African-American,Male,0,0
2950,25 - 45,F,African-American,Male,4,0
2951,25 - 45,F,African-American,Male,4,1
2952,25 - 45,M,African-American,Male,15,1
2953,25 - 45,F,Caucasian,Male,0,1
2954,25 - 45,M,Caucasian,Male,0,0
2955,25 - 45,F,African-American,Male,4,0
2956,25 - 45,F,African-American,Male,7,0
2957,Less than 25,F,Caucasian,Female,0,0
2958,25 - 45,F,African-American,Male,0,1
2959,Less than 25,F,Caucasian,Male,0,0
2960,Less than 25,F,Caucasian,Female,0,0
2961,Greater than 45,M,African-American,Female,0,0
2962,25 - 45,M,African-American,Male,0,1
2963,Greater than 45,M,African-American,Male,1,1
2964,25 - 45,F,Caucasian,Female,3,0
2965,25 - 45,F,African-American,Male,3,1
2966,25 - 45,F,African-American,Male,11,1
2967,Less than 25,F,Caucasian,Female,2,0
2968,25 - 45,F,African-American,Male,7,0
2969,25 - 45,M,African-American,Male,0,0
2970,Greater than 45,M,African-American,Male,3,0
2971,Greater than 45,F,Caucasian,Male,0,0
2972,25 - 45,M,African-American,Male,10,1
2973,Greater than 45,F,Caucasian,Male,0,0
2974,25 - 45,F,African-American,Male,0,0
2975,Greater than 45,F,African-American,Male,5,1
2976,25 - 45,M,African-American,Male,0,0
2977,Less than 25,F,African-American,Male,0,1
2978,25 - 45,M,African-American,Female,0,0
2979,25 - 45,F,Caucasian,Male,0,0
2980,25 - 45,M,African-American,Male,0,0
2981,25 - 45,M,African-American,Male,0,0
2982,25 - 45,M,African-American,Male,1,0
2983,25 - 45,M,Caucasian,Male,4,0
2984,25 - 45,F,African-American,Male,15,0
2985,25 - 45,F,African-American,Male,6,1
2986,25 - 45,F,African-American,Male,6,0
2987,25 - 45,F,Caucasian,Female,2,0
2988,25 - 45,F,African-American,Female,1,0
2989,25 - 45,M,Caucasian,Male,5,1
2990,Less than 25,F,Caucasian,Male,8,1
2991,Greater than 45,F,African-American,Female,1,0
2992,25 - 45,F,Caucasian,Male,2,1
2993,Greater than 45,M,African-American,Male,0,0
2994,Less than 25,F,African-American,Male,4,0
2995,25 - 45,M,Caucasian,Male,5,0
2996,25 - 45,F,Caucasian,Male,6,1
2997,25 - 45,M,African-American,Male,0,0
2998,Less than 25,M,Caucasian,Female,2,0
2999,25 - 45,F,African-American,Male,3,1
3000,Greater than 45,F,Caucasian,Female,1,0
3001,25 - 45,F,African-American,Female,1,0
3002,Greater than 45,F,Caucasian,Male,7,0
3003,25 - 45,M,African-American,Male,1,0
3004,Less than 25,M,Caucasian,Female,3,1
3005,Less than 25,F,African-American,Male,2,1
3006,Greater than 45,F,Caucasian,Male,3,0
3007,25 - 45,F,Hispanic,Male,0,0
3008,Greater than 45,F,Caucasian,Female,1,0
3009,25 - 45,M,Hispanic,Male,4,1
3010,25 - 45,M,African-American,Male,1,0
3011,Greater than 45,F,African-American,Male,15,1
3012,Greater than 45,F,Hispanic,Male,1,0
3013,25 - 45,M,African-American,Male,0,1
3014,25 - 45,F,African-American,Male,1,0
3015,Greater than 45,M,African-American,Male,0,0
3016,Less than 25,F,Other,Female,0,0
3017,Less than 25,F,African-American,Male,0,1
3018,25 - 45,M,Caucasian,Male,2,0
3019,Greater than 45,M,Other,Male,2,0
3020,Less than 25,F,Hispanic,Male,1,0
3021,25 - 45,M,Caucasian,Female,0,1
3022,Greater than 45,M,Caucasian,Male,0,0
3023,25 - 45,M,Caucasian,Male,5,1
3024,Greater than 45,M,Other,Female,0,0
3025,Greater than 45,F,African-American,Male,1,0
3026,25 - 45,M,Asian,Male,0,0
3027,25 - 45,F,Hispanic,Male,2,0
3028,Greater than 45,F,African-American,Male,3,0
3029,Greater than 45,F,African-American,Male,0,0
3030,25 - 45,M,Caucasian,Male,2,0
3031,Greater than 45,M,Caucasian,Female,0,0
3032,25 - 45,F,Hispanic,Male,3,1
3033,25 - 45,M,African-American,Male,17,1
3034,25 - 45,F,Caucasian,Male,3,0
3035,25 - 45,F,Caucasian,Male,2,1
3036,Less than 25,F,African-American,Male,1,1
3037,25 - 45,F,African-American,Male,5,0
3038,25 - 45,M,African-American,Male,9,1
3039,Greater than 45,M,Caucasian,Male,1,0
3040,25 - 45,F,African-American,Female,0,0
3041,25 - 45,F,African-American,Female,0,0
3042,25 - 45,F,Caucasian,Male,1,0
3043,25 - 45,F,African-American,Female,0,0
3044,25 - 45,M,African-American,Male,0,0
3045,25 - 45,F,Caucasian,Male,5,0
3046,Less than 25,F,African-American,Male,0,0
3047,25 - 45,F,Caucasian,Female,0,1
3048,Less than 25,F,African-American,Male,7,1
3049,25 - 45,M,Caucasian,Male,0,0
3050,25 - 45,F,Caucasian,Female,5,1
3051,Greater than 45,M,African-American,Male,3,0
3052,25 - 45,M,African-American,Female,0,0
3053,25 - 45,M,African-American,Male,1,1
3054,25 - 45,F,Caucasian,Female,6,0
3055,Less than 25,M,African-American,Female,0,0
3056,25 - 45,M,African-American,Male,1,0
3057,25 - 45,F,African-American,Male,1,1
3058,Less than 25,M,African-American,Male,0,0
3059,25 - 45,M,Hispanic,Female,2,0
3060,Less than 25,F,Caucasian,Male,0,1
3061,25 - 45,F,African-American,Male,9,1
3062,25 - 45,F,Caucasian,Male,9,1
3063,Less than 25,M,African-American,Male,2,1
3064,Greater than 45,M,Caucasian,Male,2,1
3065,Less than 25,F,Hispanic,Male,2,0
3066,Less than 25,M,Caucasian,Male,3,1
3067,Greater than 45,F,African-American,Female,5,0
3068,25 - 45,M,Caucasian,Female,2,0
3069,25 - 45,M,African-American,Male,0,0
3070,25 - 45,F,African-American,Male,5,1
3071,Greater than 45,F,African-American,Male,14,0
3072,25 - 45,M,African-American,Male,2,1
3073,25 - 45,M,Other,Male,0,0
3074,Less than 25,F,African-American,Male,0,0
3075,Less than 25,F,African-American,Male,2,1
3076,25 - 45,F,African-American,Female,0,0
3077,Greater than 45,M,African-American,Male,0,0
3078,Greater than 45,F,Caucasian,Female,8,1
3079,Greater than 45,F,African-American,Male,3,1
3080,25 - 45,F,Caucasian,Male,0,0
3081,Less than 25,F,African-American,Male,1,0
3082,25 - 45,F,Hispanic,Female,0,1
3083,Greater than 45,F,African-American,Male,8,1
3084,25 - 45,M,African-American,Male,6,1
3085,25 - 45,F,African-American,Male,10,1
3086,25 - 45,F,African-American,Male,12,1
3087,25 - 45,M,African-American,Male,7,1
3088,25 - 45,M,African-American,Male,1,1
3089,Greater than 45,F,African-American,Male,2,0
3090,Less than 25,F,Caucasian,Male,1,0
3091,25 - 45,F,African-American,Male,3,0
3092,25 - 45,F,African-American,Male,13,1
3093,25 - 45,F,African-American,Male,2,0
3094,Greater than 45,M,Caucasian,Male,0,1
3095,Less than 25,F,African-American,Male,6,1
3096,25 - 45,F,Hispanic,Male,2,1
3097,Less than 25,M,Hispanic,Female,0,0
3098,Less than 25,M,African-American,Male,2,1
3099,Greater than 45,F,African-American,Male,12,1
3100,Greater than 45,F,African-American,Male,1,0
3101,Greater than 45,F,Caucasian,Male,6,0
3102,25 - 45,M,Caucasian,Female,0,0
3103,25 - 45,F,Caucasian,Male,5,0
3104,25 - 45,F,African-American,Male,0,1
3105,Greater than 45,F,Caucasian,Male,1,0
3106,25 - 45,M,African-American,Female,2,0
3107,Less than 25,F,Other,Male,4,0
3108,Greater than 45,F,African-American,Male,9,0
3109,Less than 25,M,African-American,Male,9,1
3110,Less than 25,F,African-American,Female,2,0
3111,Greater than 45,M,Hispanic,Male,1,0
3112,25 - 45,F,African-American,Female,2,0
3113,25 - 45,M,Other,Male,5,1
3114,Greater than 45,M,African-American,Male,0,0
3115,25 - 45,F,Caucasian,Female,3,0
3116,25 - 45,M,Hispanic,Male,0,0
3117,25 - 45,F,African-American,Male,4,0
3118,Less than 25,M,African-American,Male,1,1
3119,25 - 45,F,Caucasian,Male,5,0
3120,Less than 25,F,African-American,Male,0,0
3121,25 - 45,M,Caucasian,Male,4,1
3122,Greater than 45,M,African-American,Male,11,1
3123,25 - 45,F,African-American,Male,1,0
3124,25 - 45,F,African-American,Male,12,1
3125,25 - 45,M,Hispanic,Female,0,0
3126,Greater than 45,M,African-American,Male,15,1
3127,Less than 25,F,African-American,Male,3,1
3128,25 - 45,F,African-American,Male,15,0
3129,Greater than 45,M,Caucasian,Male,0,0
3130,25 - 45,F,African-American,Male,12,0
3131,Greater than 45,F,African-American,Female,1,0
3132,Less than 25,F,Other,Male,0,1
3133,25 - 45,F,African-American,Male,16,1
3134,Less than 25,M,African-American,Female,0,0
3135,25 - 45,F,African-American,Male,5,1
3136,Greater than 45,F,Caucasian,Male,13,0
3137,Greater than 45,F,Caucasian,Female,0,0
3138,Greater than 45,F,African-American,Male,0,0
3139,25 - 45,M,African-American,Female,0,0
3140,Greater than 45,M,Caucasian,Female,0,0
3141,25 - 45,F,African-American,Male,1,1
3142,Less than 25,F,African-American,Male,0,1
3143,25 - 45,M,Caucasian,Female,0,1
3144,25 - 45,M,Caucasian,Male,1,0
3145,25 - 45,F,Asian,Male,0,0
3146,Less than 25,F,Caucasian,Male,0,0
3147,25 - 45,M,African-American,Male,7,1
3148,Less than 25,F,Caucasian,Female,0,0
3149,Greater than 45,F,African-American,Female,0,0
3150,25 - 45,M,African-American,Male,8,1
3151,25 - 45,F,Hispanic,Male,1,1
3152,25 - 45,F,Caucasian,Male,5,0
3153,25 - 45,F,African-American,Female,5,0
3154,25 - 45,M,African-American,Male,1,1
3155,25 - 45,F,Caucasian,Male,1,0
3156,25 - 45,F,Caucasian,Male,2,0
3157,25 - 45,F,African-American,Female,1,0
3158,25 - 45,F,Caucasian,Female,11,1
3159,Less than 25,F,African-American,Male,3,1
3160,25 - 45,F,Caucasian,Male,0,0
3161,Greater than 45,F,Caucasian,Male,1,1
3162,25 - 45,M,Hispanic,Female,0,0
3163,Less than 25,M,African-American,Female,0,0
3164,25 - 45,F,African-American,Male,6,1
3165,Less than 25,M,African-American,Male,1,1
3166,Less than 25,M,Hispanic,Female,2,0
3167,25 - 45,F,African-American,Female,5,0
3168,Less than 25,F,Caucasian,Male,1,1
3169,Greater than 45,M,Caucasian,Male,3,0
3170,25 - 45,F,Caucasian,Male,4,1
